                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8684,                 6.0655,                 3.1361,                 0.0095,                0.67085,                0.01426,                0.00421,                 2.4772,                 3.5434,                 1.9476,             5.9622e-05,             5.9622e-05,             5.9622e-05
                      2,                  2.205,                 3.7913,                 1.7553,                0.03971,                0.65947,                0.05047,                0.02782,                  1.529,                 2.8455,                 1.3326,             0.00011456,             0.00011456,             0.00011456
                      3,                 1.6967,                  3.022,                  1.383,                0.11214,                0.37208,                0.12073,                0.07461,                 1.2908,                 2.3804,                 1.1542,             0.00016478,             0.00016478,             0.00016478
                      4,                 1.5316,                 2.6281,                 1.2631,                0.19971,                0.51028,                 0.2181,                 0.1317,                 1.3664,                 2.1231,                 1.1636,             0.00015773,             0.00015773,             0.00015773
                      5,                  1.461,                 2.3554,                 1.2161,                0.27749,                 0.5823,                0.35053,                0.21663,                 1.3456,                 1.8237,                 1.1514,             0.00015773,             0.00015773,             0.00015773
                      6,                 1.4291,                 2.1269,                 1.1922,                0.38934,                0.67525,                0.47676,                0.30741,                 1.2724,                 1.5643,                 1.1154,             0.00015065,             0.00015065,             0.00015065
                      7,                 1.4059,                 1.9247,                 1.1751,                0.49146,                0.70848,                0.60225,                0.35837,                 1.4329,                 1.3974,                 1.1853,             0.00014356,             0.00014356,             0.00014356
                      8,                   1.38,                 1.7747,                 1.1642,                0.57943,                0.74647,                0.70005,                0.46703,                 1.2245,                 1.2188,                 1.0854,             0.00013647,             0.00013647,             0.00013647
                      9,                  1.373,                 1.6526,                 1.1565,                0.66472,                 0.7776,                0.78694,                0.51215,                 1.2738,                 1.1038,                 1.1015,             0.00012938,             0.00012938,             0.00012938
                     10,                 1.3606,                 1.5396,                 1.1495,                0.74561,                0.79294,                 0.8465,                0.55424,                 1.2609,                 1.0107,                 1.0926,             0.00012229,             0.00012229,             0.00012229
                     11,                 1.3487,                 1.4497,                 1.1462,                 0.8009,                0.84199,                0.89374,                0.57828,                 1.2887,                0.91344,                  1.104,              0.0001152,              0.0001152,              0.0001152
                     12,                 1.3443,                 1.3785,                 1.1413,                 0.8442,                0.85524,                0.91799,                0.60135,                 1.2713,                0.86076,                 1.0953,             0.00010812,             0.00010812,             0.00010812
                     13,                 1.3349,                 1.3055,                 1.1351,                0.87245,                0.87848,                0.94165,                  0.623,                 1.2518,                0.80194,                 1.0882,             0.00010103,             0.00010103,             0.00010103
                     14,                 1.3328,                 1.2539,                 1.1356,                0.90001,                0.89549,                0.95896,                0.62234,                 1.3005,                0.76725,                 1.1063,             9.3939e-05,             9.3939e-05,             9.3939e-05
                     15,                 1.3262,                 1.2027,                 1.1338,                0.91932,                 0.9197,                0.96863,                0.63958,                 1.2677,                0.72364,                 1.0889,             8.6851e-05,             8.6851e-05,             8.6851e-05
                     16,                 1.2777,                0.96853,                 1.1834,                0.93204,                0.92132,                0.97572,                0.63621,                 1.2858,                0.69904,                 1.0941,             7.9762e-05,             7.9762e-05,             7.9762e-05
                     17,                 1.2734,                 0.9204,                  1.179,                0.94564,                0.93113,                0.98027,                0.63916,                 1.2953,                0.68234,                 1.0979,             7.2674e-05,             7.2674e-05,             7.2674e-05
                     18,                 1.2675,                0.88648,                 1.1765,                0.95003,                0.93754,                0.98293,                0.64246,                 1.2958,                0.66086,                 1.0969,             6.5586e-05,             6.5586e-05,             6.5586e-05
                     19,                 1.2629,                0.85423,                 1.1748,                0.95596,                0.94608,                0.98487,                0.63501,                 1.3281,                0.65256,                 1.1073,             5.8497e-05,             5.8497e-05,             5.8497e-05
                     20,                 1.2566,                0.83214,                 1.1708,                0.95855,                0.94803,                0.98664,                0.64632,                 1.3009,                0.63546,                 1.0995,             5.1409e-05,             5.1409e-05,             5.1409e-05
                     21,                 1.2512,                0.81311,                 1.1677,                0.95838,                 0.9565,                0.98755,                0.64418,                 1.3099,                0.62533,                 1.1002,              4.432e-05,              4.432e-05,              4.432e-05
                     22,                 1.2492,                0.79773,                 1.1681,                0.96091,                0.95715,                0.98829,                0.65249,                  1.284,                0.61793,                  1.089,             3.7232e-05,             3.7232e-05,             3.7232e-05
                     23,                 1.2439,                0.78337,                 1.1634,                0.96285,                0.96018,                0.98897,                0.65297,                 1.2816,                0.60996,                 1.0897,             3.0144e-05,             3.0144e-05,             3.0144e-05
                     24,                 1.2396,                0.77219,                  1.161,                0.96309,                0.96117,                0.98916,                0.65883,                 1.2648,                0.60132,                  1.082,             2.3055e-05,             2.3055e-05,             2.3055e-05
                     25,                 1.2353,                0.76171,                 1.1595,                0.96561,                0.96285,                0.98973,                0.65607,                  1.275,                0.59859,                 1.0839,             1.5967e-05,             1.5967e-05,             1.5967e-05
